game_id,home,away
0022200511,SAS,OKC
0022200512,NYK,DAL
0022200513,CHA,GSW
0022200514,DEN,SAC
0022200515,ORL,DET
0022200516,PHX,WAS
0022200517,BKN,ATL
0022200518,LAL,MIA
0022200519,MIL,CHI
0022200520,MIN,NOP
0022200521,UTA,GSW
0022200522,DEN,SAC
0022200523,OKC,CHA
0022200524,CLE,IND
0022200525,LAC,BOS
0022200526,MEM,TOR
0022200527,NYK,SAS
0022200528,HOU,DAL
0022200529,WAS,ORL
0022200530,LAL,ATL
0022200531,PHX,TOR
0022200532,DET,CHI
0022200533,MIN,MIL
0022200534,PHI,NOP
0022200535,MIA,DEN
0022200536,POR,GSW
0022200537,UTA,SAC
0022200538,LAC,IND
0022200539,BKN,CHA
0022200540,CLE,CHI
0022200541,NYK,HOU
0022200542,DAL,SAS
0022200543,NOP,MEM
0022200544,DET,MIN
0022200545,PHI,OKC
0022200546,MIA,UTA
0022200547,SAC,MEM
0022200548,WAS,MIL
0022200549,BOS,DEN
0022200550,PHX,NYK
0022200551,LAL,CHA
0022200552,CHI,CLE
0022200553,TOR,IND
0022200554,NOP,PHI
0022200555,SAS,BKN
0022200556,DAL,HOU
0022200557,DEN,MIN
0022200558,ATL,GSW
0022200559,DET,POR
0022200560,MIA,LAC
0022200561,WAS,MIL
0022200562,BOS,OKC
0022200563,SAC,UTA
0022200564,MEM,CHA
0022200565,PHX,CLE
0022200566,OKC,ORL
0022200567,IND,PHI
0022200568,SAS,NYK
0022200569,MIL,TOR
0022200570,BKN,CHI
0022200571,POR,MIN
0022200572,HOU,NOP
0022200573,DET,GSW
0022200574,MIA,LAL
0022200575,ATL,SAC
0022200576,MEM,ORL
0022200577,BOS,DAL
0022200578,UTA,HOU
0022200579,LAC,DEN
0022200580,POR,IND
0022200581,CHI,PHI
0022200582,NYK,TOR
0022200583,CHA,MIL
0022200584,WAS,OKC
0022200585,DET,SAS
0022200586,BKN,NOP
0022200587,LAC,MIN
0022200588,CLE,DEN
0022200589,MIA,PHX
0022200590,ATL,LAL
0022200591,BOS,SAS
0022200592,UTA,CHI
0022200593,NOP,DAL
0022200594,ORL,GSW
0022200595,LAL,SAC
0022200596,PHI,DET
0022200597,POR,TOR
0022200598,CHA,IND
0022200599,BKN,MIA
0022200600,UTA,MEM
0022200601,MIN,HOU
0022200602,DAL,OKC
0022200603,CLE,PHX
0022200604,ATL,LAC
0022200605,NOP,WAS
0022200606,CHI,BOS
0022200607,MIL,NYK
0022200608,SAS,MEM
0022200609,LAL,DEN
0022200610,ORL,SAC
0022200611,OKC,MIA
0022200612,DET,PHI
0022200613,CHA,TOR
